iter	RMSE
220	4.159900288
221	4.156905927
222	4.150522417
223	4.147218597
224	4.140550134
225	4.135074389
226	4.12584773
227	4.123481682
228	4.118236998
229	4.115594157
230	4.110341847
231	4.100548694
232	4.095196237
233	4.089185436
234	4.085650464
235	4.080884949
236	4.07542932
237	4.067791576
238	4.060814209
239	4.055051243
240	4.047629645
241	4.042520889
242	4.03645797
243	4.029726962
244	4.025976896
245	4.020067407
246	4.016882089
247	4.011905539
248	4.00664611
249	4.002692997
250	3.997281028
251	3.991006388
252	3.986824594
253	3.983232339
254	3.978652983
255	3.972316299
256	3.969005868
257	3.965782382
258	3.958233588
259	3.953511627
260	3.948232879
261	3.940537416
262	3.935471699
263	3.927920008
264	3.923909349
265	3.919907497
266	3.913021548
267	3.909137666
268	3.902459072
269	3.897401648
270	3.892626287
271	3.888619155
272	3.884017768
273	3.877459359
274	3.874009501
275	3.868086998
276	3.865964575
277	3.861179731
278	3.856901135
279	3.852983033
280	3.848701132
281	3.841473359
282	3.837726575
283	3.832894471
284	3.829040024
285	3.823495567
286	3.820986587
287	3.813649751
288	3.809112206
289	3.805767011
290	3.799116906
291	3.796360649
292	3.793420633
293	3.79053131
294	3.787139607
295	3.782935863
296	3.778162636
297	3.774106908
298	3.770584273
299	3.764016548
300	3.759082675
301	3.755695013
302	3.750427445
303	3.74670464
304	3.74302682
305	3.739118355
306	3.735485715
307	3.732408583
308	3.727324668
309	3.722340654
310	3.718835473
311	3.715305586
312	3.711663798
313	3.706692204
314	3.704404888
315	3.702359602
316	3.698973204
317	3.692301175
318	3.687971984
319	3.684422871
320	3.681102805
321	3.677883257
322	3.672116128
323	3.668474303
324	3.663920592
325	3.660683542
326	3.658346717
327	3.655453689
328	3.651731581
329	3.64958113
330	3.64584948
331	3.64294863
332	3.639415149
333	3.634315188
334	3.631218244
335	3.627655548
336	3.623994114
337	3.619264762
338	3.615563458
339	3.614098788
340	3.611430368
341	3.60774903
342	3.604191109
343	3.600340949
344	3.597620802
345	3.593637269
346	3.591068883
347	3.584710583
348	3.577912674
349	3.57509395
350	3.570858879
351	3.568216149
352	3.564113644
353	3.560269167
354	3.556467566
355	3.552377591
356	3.549979193
357	3.545273528
358	3.542933797
359	3.539599792
360	3.535628812
361	3.534209377
362	3.531030802
363	3.528283765
364	3.525355417
365	3.521909094
366	3.51799897
367	3.515727566
368	3.511803472
369	3.508592214
370	3.505675476
371	3.500889266
372	3.497272864
373	3.493952115
374	3.488830316
375	3.486010632
376	3.483366408
377	3.481939725
378	3.478607737
379	3.476669215
380	3.4743141
381	3.470566866
382	3.467339843
383	3.464528671
384	3.460786772
385	3.459314046
386	3.456246942
387	3.454000131
388	3.451890237
389	3.448095781
390	3.445257471
391	3.444040002
392	3.438028381
393	3.434925839
394	3.432391096
395	3.429670528
396	3.426062503
397	3.423963892
398	3.420841695
399	3.416794481
400	3.414072261
401	3.410825444
402	3.407888694
403	3.403485941
404	3.399226049
405	3.395344474
406	3.393592726
407	3.390421018
408	3.388597738
409	3.384357526
410	3.38179586
411	3.375426606
412	3.371221089
413	3.367880379
414	3.365585161
415	3.362674482
416	3.359540121
417	3.357026742
418	3.35519907
419	3.350151371
420	3.346845924
421	3.344262476
422	3.341243127
423	3.3378362
424	3.332621461
425	3.330123724
426	3.327310773
427	3.324352731
428	3.322081509
429	3.317962995
430	3.314425998
431	3.310141679
432	3.307883919
433	3.305386435
434	3.303264876
435	3.299323102
436	3.298184367
437	3.29524779
438	3.291332761
439	3.288381313
440	3.285613252
441	3.282456119
442	3.277852155
443	3.275833376
444	3.273216685
445	3.270915386
446	3.266876375
447	3.264735191
448	3.262469006
449	3.260316167
450	3.257826886
451	3.255980574
452	3.255553503
453	3.251934902
454	3.250078407
455	3.24735301
456	3.244369086
457	3.241234402
458	3.239370391
459	3.235461228
460	3.232127415
461	3.229600083
462	3.226467999
463	3.224285759
464	3.220794846
465	3.218336485
466	3.215984195
467	3.212510945
468	3.209349322
469	3.206974413
470	3.205075911
471	3.20334122
472	3.20018744
473	3.198126375
474	3.195024484
475	3.192857725
476	3.190391571
477	3.187135161
478	3.185474532
479	3.182562231
480	3.180563399
481	3.177880062
482	3.175219947
483	3.173463067
484	3.170554318
485	3.167698245
486	3.1660913
487	3.16296082
488	3.160857696
489	3.156594129
490	3.153793402
491	3.150487894
492	3.147957639
493	3.147532304
494	3.144498288
495	3.140699178
496	3.136787586
497	3.134270823
498	3.130043098
499	3.127381534
500	3.126211425
501	3.124105842
502	3.121565929
503	3.119942007
504	3.118346839
505	3.116753485
506	3.115551368
507	3.113116515
508	3.109616602
509	3.106783975
510	3.105654096
511	3.103445097
512	3.100936915
513	3.097916844
514	3.096137558
515	3.094216468
516	3.092537949
517	3.091631042
518	3.089261183
519	3.087111435
520	3.084242297
521	3.081817546
522	3.079575246
523	3.077614568
524	3.075433275
525	3.07245312
526	3.069155234
527	3.067190474
528	3.066335274
529	3.063516558
530	3.061408493
531	3.058865164
532	3.056320984
533	3.054380046
534	3.053579049
535	3.052598651
536	3.049974413
537	3.047891249
538	3.043732572
539	3.040881122
540	3.03889638
541	3.036232161
542	3.033876849
543	3.031617864
544	3.029591168
545	3.027156396
546	3.025108505
547	3.02184473
548	3.01960657
549	3.01729446
550	3.014605112
551	3.012044137
552	3.009286143
553	3.008202552
554	3.005761727
555	3.003820839
556	3.001479874
557	2.998366126
558	2.995773783
559	2.993288273
560	2.990737856
561	2.988558457
562	2.985769372
563	2.982626229
564	2.981167897
565	2.979544344
566	2.977153276
567	2.975295054
568	2.973715949
569	2.972301317
570	2.969017827
571	2.966734714
572	2.964999216
573	2.96264097
574	2.961686121
575	2.959488237
576	2.95722129
577	2.955684212
578	2.953219911
579	2.95078738
580	2.949331968
581	2.946461681
582	2.944340714
583	2.942972646
584	2.941532165
585	2.939051207
586	2.937006267
587	2.934607822
588	2.931374235
589	2.928586236
590	2.927108513
591	2.924935575
592	2.922982745
593	2.921280767
594	2.919944089
595	2.918392912
596	2.916033206
597	2.913800633
598	2.911578373
599	2.90919882
600	2.905831951
601	2.904112281
602	2.902965434
603	2.900235772
604	2.898013622
605	2.895252892
606	2.893797245
607	2.892160659
608	2.890036624
609	2.887893926
610	2.88610372
611	2.884180228
612	2.882885356
613	2.880949107
614	2.87936477
615	2.878136903
616	2.876693109
617	2.874137119
618	2.873159375
619	2.871102699
620	2.869683935
621	2.867952278
622	2.866178771
623	2.864013177
624	2.862660886
625	2.859417984
626	2.858316241
627	2.85655091
628	2.855001194
629	2.853600381
630	2.852063861
631	2.849991397
632	2.847766016
633	2.845446344
634	2.843839149
635	2.842163375
636	2.841473033
637	2.840010367
638	2.839928598
639	2.838152465
640	2.836799672
641	2.835451086
642	2.832591545
643	2.831666783
644	2.829801277
645	2.829721378
646	2.827573574
647	2.825713335
648	2.8233427
649	2.820491208
650	2.819123614
651	2.817360319
652	2.816108762
653	2.814598586
654	2.813969281
655	2.812374647
656	2.809897713
657	2.808395214
658	2.807340365
659	2.805819394
660	2.804246093
661	2.802509211
662	2.801170053
663	2.799386716
664	2.797714282
665	2.795588554
666	2.792924724
667	2.790384396
668	2.788086276
669	2.786020973
670	2.783951143
671	2.782500182
672	2.780398747
673	2.779844444
674	2.778180979
675	2.77561545
676	2.773762627
677	2.772798164
678	2.770706681
679	2.768692743
680	2.765880979
681	2.764690308
682	2.762236294
683	2.759474062
684	2.757999875
685	2.756227362
686	2.754222017
687	2.752608777
688	2.750957701
689	2.749646052
690	2.749292713
691	2.747895007
692	2.745968796
693	2.744591718
694	2.743160841
695	2.742141203
696	2.739487725
697	2.737508396
698	2.735556909
699	2.733359785
700	2.731709848
701	2.730308581
702	2.728367569
703	2.726214646
704	2.724251176
705	2.72294587
706	2.721824287
707	2.720203925
708	2.718714131
709	2.718308951
710	2.716675195
711	2.715146252
712	2.714073705
713	2.712414012
714	2.711474489
715	2.708669922
716	2.707461183
717	2.705802946
718	2.704392659
719	2.702118718
720	2.700557642
721	2.699212854
722	2.698371589
723	2.698297355
724	2.69709735
725	2.694921156
726	2.693445003
727	2.691864633
728	2.691104921
729	2.689173066
730	2.688016663
731	2.68627173
732	2.685161667
733	2.68306574
734	2.680967433
735	2.679433106
736	2.678068867
737	2.676674525
738	2.675193441
739	2.67346159
740	2.67285253
741	2.671580066
742	2.670028555
743	2.667946273
744	2.666720607
745	2.665350386
746	2.663537711
747	2.661541023
748	2.660432058
749	2.65928441
750	2.657291233
751	2.654929723
752	2.653725971
753	2.652313256
754	2.651310177
755	2.649347319
756	2.648048271
757	2.64693224
758	2.6453188
759	2.643797808
760	2.641866178
761	2.640813032
762	2.639664559
763	2.638318477
764	2.637107593
765	2.635317642
766	2.633828051
767	2.632115516
768	2.631085278
769	2.629891227
770	2.628376157
771	2.626849652
772	2.623609956
773	2.621032348
774	2.61997158
775	2.618917813
776	2.617607551
777	2.616337416
778	2.614842847
779	2.613941176
780	2.612246804
781	2.611317336
782	2.610355333
783	2.609592253
784	2.608321984
785	2.60653233
786	2.605408706
787	2.603878312
788	2.602774865
789	2.600077432
790	2.599108008
791	2.597962733
792	2.597079037
793	2.595936006
794	2.59516858
795	2.593291298
796	2.591890021
797	2.590326614
798	2.588116451
799	2.586025084
800	2.584504268
801	2.583792058
802	2.582164595
803	2.581080309
804	2.579872637
805	2.578352233
806	2.577398731
807	2.57593107
808	2.57511773
809	2.574097757
810	2.572011432
811	2.571183891
812	2.569083113
813	2.567213243
814	2.566222298
815	2.564693152
816	2.563876979
817	2.562550878
818	2.561053666
819	2.55845611
820	2.556791981
821	2.555121261
822	2.554310885
823	2.552042387
824	2.550840156
825	2.549324187
826	2.547917897
827	2.546629678
828	2.545144887
829	2.543974819
830	2.542174276
831	2.540539944
832	2.539603659
833	2.538549528
834	2.536799024
835	2.535207418
836	2.534579438
837	2.533265446
838	2.532705748
839	2.53090453
840	2.528988311
841	2.527315872
842	2.525446111
843	2.523464876
844	2.521844358
845	2.520882753
846	2.51892212
847	2.517738538
848	2.516325126
849	2.515105818
850	2.514069193
851	2.511717906
852	2.511113131
853	2.51009014
854	2.509449961
855	2.508136907
856	2.50641281
857	2.50421601
858	2.503493938
859	2.501147007
860	2.499995352
861	2.498867083
862	2.498322532
863	2.497004113
864	2.495842262
865	2.494594393
866	2.493255834
867	2.491855707
868	2.491053128
869	2.489339684
870	2.487743034
871	2.486386256
872	2.484572386
873	2.483006369
874	2.481872392
875	2.48099078
876	2.479622093
877	2.477883048
878	2.477032268
879	2.475525866
880	2.473666433
881	2.472748999
882	2.472684473
883	2.471497728
884	2.470704011
885	2.468947002
886	2.467633176
887	2.466751506
888	2.465883755
889	2.46432498
890	2.46291026
891	2.461237912
892	2.45937403
893	2.458224498
894	2.45707677
895	2.456441786
896	2.455481234
897	2.454561576
898	2.453843325
899	2.452030961
900	2.451050406
901	2.449113514
902	2.448430185
903	2.447152398
904	2.445763859
905	2.444718712
906	2.44349927
907	2.441408677
908	2.439671347
909	2.437722685
910	2.437237934
911	2.43572442
912	2.434698144
913	2.432704593
914	2.430400241
915	2.428590349
916	2.428528833
917	2.42704657
918	2.426236231
919	2.425368771
920	2.424367565
921	2.423929856
922	2.422865265
923	2.421578623
924	2.420527581
925	2.418560848
926	2.417488809
927	2.416468588
928	2.41425102
929	2.413367432
930	2.411948065
931	2.410660229
932	2.409903718
933	2.408180186
934	2.406866872
935	2.405643363
936	2.404081532
937	2.403162219
938	2.401973657
939	2.400663103
940	2.400257119
941	2.399020499
942	2.398045049
943	2.396531766
944	2.395802297
945	2.394181687
946	2.3928084
947	2.392021545
948	2.390658293
949	2.389375872
950	2.387738659
951	2.385886481
952	2.384929314
953	2.383938892
954	2.382613954
955	2.381769283
956	2.380656557
957	2.379436669
958	2.378275533
959	2.376888482
960	2.376084464
961	2.375282912
962	2.374520539
963	2.372933073
964	2.372247068
965	2.371106204
966	2.368745979
967	2.367811654
968	2.366725408
969	2.365367103
970	2.36390286
971	2.363110494
972	2.361847326
973	2.360616264
974	2.359955048
975	2.358566094
976	2.357136792
977	2.355871293
978	2.355178808
979	2.353760253
980	2.353494981
981	2.352195564
982	2.350617806
983	2.349374273
984	2.34833986
985	2.347556478
986	2.346759849
987	2.34548544
988	2.344726079
989	2.342971606
990	2.341932275
991	2.341103331
992	2.340345181
993	2.33949064
994	2.337997122
995	2.336765945
996	2.335391504
997	2.333742609
998	2.332907387
999	2.332019548
